iter	MultiClass
0	1.321134635
1	1.269968661
2	1.226092668
3	1.188321337
4	1.153519931
5	1.125487565
6	1.099805319
7	1.077239884
8	1.055785629
9	1.038627172
10	1.022819005
11	1.006760182
12	0.9934394879
13	0.9805146976
14	0.9700648334
15	0.9598244026
16	0.9500499871
17	0.9404812788
18	0.9335658081
19	0.9262102221
20	0.9182656533
21	0.9117670351
22	0.9048735808
23	0.8981575906
24	0.8923761439
25	0.8871818169
26	0.8813264626
27	0.8747563509
28	0.8699335606
29	0.8658133564
30	0.8602492753
31	0.8562683142
32	0.851155981
33	0.8471525003
34	0.843249988
35	0.8383012493
36	0.8348305153
37	0.8306914456
38	0.8267571536
39	0.8231558675
40	0.8191192089
41	0.8156528643
42	0.8126838248
43	0.8095872575
44	0.8065529404
45	0.8032113986
46	0.7999357496
47	0.795789325
48	0.7934378984
49	0.7906815081
50	0.7870094472
51	0.7845594541
52	0.7827871745
53	0.7795596061
54	0.776957993
55	0.7741110368
56	0.7703848854
57	0.768202128
58	0.7662849001
59	0.7644605294
60	0.7622912551
61	0.7600962405
62	0.7575329298
63	0.7545441493
64	0.7523490852
65	0.7489744796
66	0.7471479824
67	0.7443504405
68	0.741232475
69	0.7376186141
70	0.7341614519
71	0.7317735967
72	0.7291025791
73	0.7271110988
74	0.7248359628
75	0.721932969
76	0.7185301069
77	0.7166441419
78	0.7156034447
79	0.7132910805
80	0.7107973395
81	0.7076631897
82	0.7045149845
83	0.703294862
84	0.700529257
85	0.6965751077
86	0.6942839114
87	0.691981639
88	0.690076951
89	0.6878796607
90	0.6855161283
91	0.6840496918
92	0.6820290662
93	0.6795268803
94	0.6770847956
95	0.6753439534
96	0.6733910794
97	0.6720540758
98	0.6702574097
99	0.6679627648
100	0.6662524234
101	0.6643321042
102	0.6622255083
103	0.6593579056
104	0.6578437763
105	0.6558546763
106	0.653008473
107	0.6513151064
108	0.649306692
109	0.6473140318
110	0.6446643064
111	0.6424310102
112	0.6393106326
113	0.6375431526
114	0.6359088026
115	0.6348304623
116	0.6328787225
117	0.6304980699
118	0.6286611905
119	0.626000399
120	0.6226843647
121	0.6209534802
122	0.6186896013
123	0.6165156429
124	0.6140025043
125	0.6118546027
126	0.6088872354
127	0.6076933059
128	0.6067783916
129	0.6056263997
130	0.6027076649
131	0.6008105492
132	0.5989226459
133	0.596218549
134	0.5945859171
135	0.5927355389
136	0.5909216527
137	0.5896852784
138	0.5877386935
139	0.5857259608
140	0.5838454293
141	0.5818151901
142	0.5799854761
143	0.5782252674
144	0.5770046408
145	0.5750837132
146	0.5729767777
147	0.5705703976
148	0.5684701248
149	0.5667544251
150	0.5648512781
151	0.5624770793
152	0.5615052718
153	0.5597409166
154	0.5580748128
155	0.5563268877
156	0.5543585701
157	0.5526728783
158	0.5512754103
159	0.5501146612
160	0.5484539375
161	0.5467035938
162	0.5453497156
163	0.5438749758
164	0.5414069801
165	0.5401098013
166	0.539080822
167	0.5374039732
168	0.5353814819
169	0.5331949174
170	0.5313705544
171	0.5300784141
172	0.528882529
173	0.5272680467
174	0.525997638
175	0.5240579579
176	0.5229475893
177	0.5215526419
178	0.519939411
179	0.519095206
180	0.5170969432
181	0.5154682002
182	0.5142752809
183	0.5123432929
184	0.5112991446
185	0.5101047757
186	0.5085376172
187	0.5065288922
188	0.5057620103
189	0.5040064726
190	0.5020328862
191	0.5009124911
192	0.4997072834
193	0.498123841
194	0.4970772956
195	0.4958708638
196	0.4947515075
197	0.4927580849
198	0.491453859
199	0.4896810019
200	0.4883054558
201	0.4863310948
202	0.4853597284
203	0.4844074327
204	0.482882948
205	0.4813530749
206	0.4791835649
207	0.4781201562
208	0.4767696424
