iter	Passed	Remaining
402	10901	16149
403	10927	16120
404	10955	16095
405	10986	16073
406	11011	16043
407	11037	16015
408	11059	15980
409	11085	15951
410	11108	15919
411	11134	15891
412	11157	15858
413	11186	15834
414	11214	15808
415	11238	15777
416	11262	15745
417	11288	15717
418	11312	15686
419	11337	15657
420	11360	15623
421	11383	15591
422	11406	15559
423	11435	15535
424	11459	15504
425	11484	15473
426	11510	15446
427	11536	15418
428	11562	15389
429	11588	15362
430	11616	15335
431	11654	15324
432	11682	15298
433	11706	15266
434	11729	15235
435	11752	15203
436	11777	15173
437	11801	15142
438	11825	15112
439	11850	15083
440	11879	15058
441	11902	15025
442	11927	14997
443	11951	14965
444	11976	14936
445	12000	14906
446	12025	14877
447	12049	14846
448	12074	14817
449	12100	14790
450	12128	14764
451	12153	14734
452	12178	14705
453	12204	14677
454	12228	14646
455	12252	14616
456	12274	14584
457	12300	14556
458	12325	14527
459	12350	14498
460	12373	14466
461	12397	14436
462	12422	14407
463	12444	14376
464	12469	14346
465	12491	14314
466	12517	14285
467	12540	14255
468	12563	14224
469	12589	14197
470	12612	14165
471	12638	14137
472	12661	14106
473	12686	14078
474	12711	14049
475	12739	14023
476	12762	13993
477	12788	13965
478	12811	13934
479	12837	13906
480	12860	13876
481	12886	13848
482	12909	13818
483	12937	13792
484	12962	13763
485	12987	13735
486	13010	13704
487	13035	13676
488	13058	13646
489	13083	13618
490	13106	13587
491	13133	13560
492	13158	13531
493	13183	13504
494	13206	13473
495	13231	13445
496	13255	13415
497	13280	13387
498	13303	13357
499	13326	13326
500	13352	13299
501	13380	13273
502	13407	13247
503	13434	13220
504	13512	13244
505	13552	13231
506	13579	13204
507	13604	13175
508	13630	13148
509	13653	13118
510	13679	13090
511	13704	13061
512	13728	13032
513	13752	13003
514	13778	12975
515	13801	12945
516	13830	12921
517	13853	12890
518	13880	12864
519	13902	12833
520	13927	12804
521	13952	12776
522	13981	12751
523	14005	12722
524	14031	12695
525	14058	12669
526	14082	12639
527	14107	12611
528	14131	12582
529	14157	12554
530	14181	12525
531	14206	12497
532	14243	12479
533	14275	12457
534	14297	12426
535	14320	12397
536	14345	12368
537	14372	12342
538	14396	12313
539	14421	12285
540	14445	12255
541	14471	12228
542	14496	12200
543	14522	12172
544	14544	12142
545	14569	12114
546	14594	12086
547	14619	12058
548	14643	12029
549	14669	12002
550	14718	11993
551	14741	11964
552	14763	11933
553	14787	11904
554	14810	11874
555	14835	11847
556	14859	11818
557	14884	11790
558	14909	11762
559	14934	11734
560	14960	11707
561	14985	11679
562	15008	11649
563	15033	11621
564	15057	11592
565	15081	11564
566	15105	11535
567	15129	11506
568	15156	11480
569	15184	11454
570	15209	11426
571	15233	11398
572	15257	11370
573	15285	11343
574	15307	11314
575	15332	11286
576	15354	11256
577	15379	11228
578	15406	11202
579	15431	11174
580	15454	11145
581	15479	11117
582	15503	11088
583	15527	11060
584	15551	11032
585	15574	11003
586	15598	10974
587	15624	10947
588	15648	10919
589	15670	10889
590	15694	10861
591	15717	10832
592	15743	10805
593	15766	10776
594	15797	10753
595	15821	10724
596	15848	10698
597	15873	10670
598	15897	10642
599	15922	10614
600	15946	10586
601	15970	10558
602	15993	10530
603	16017	10501
604	16042	10474
605	16066	10445
606	16093	10419
607	16116	10390
608	16144	10365
609	16172	10339
610	16199	10313
611	16226	10287
612	16252	10260
613	16281	10235
614	16307	10208
615	16330	10180
616	16356	10153
617	16379	10124
618	16405	10097
619	16429	10069
620	16453	10041
621	16478	10014
622	16507	9988
623	16529	9959
624	16553	9932
625	16578	9904
626	16604	9877
627	16627	9849
628	16653	9822
629	16676	9794
630	16704	9768
631	16728	9740
632	16753	9713
633	16779	9686
634	16806	9660
635	16830	9632
636	16856	9605
637	16881	9578
638	16908	9552
639	16939	9528
640	16965	9501
641	16990	9474
642	17016	9447
643	17039	9419
644	17065	9392
645	17089	9364
646	17115	9337
647	17139	9310
648	17167	9284
649	17193	9257
650	17219	9231
651	17242	9203
652	17267	9175
653	17290	9147
654	17316	9120
655	17338	9092
656	17364	9065
657	17388	9037
658	17418	9013
659	17441	8985
660	17467	8958
661	17490	8930
662	17515	8903
663	17538	8874
664	17563	8847
665	17586	8819
666	17613	8793
667	17640	8767
668	17665	8740
669	17687	8711
670	17714	8685
671	17737	8657
672	17761	8630
673	17784	8601
674	17809	8574
675	17833	8547
676	17860	8521
677	17886	8494
678	17910	8467
679	17933	8439
680	17957	8412
681	17982	8384
682	18007	8358
683	18030	8329
684	18054	8302
685	18080	8275
686	18102	8247
687	18126	8220
688	18150	8192
689	18171	8164
690	18195	8136
691	18216	8107
692	18238	8079
693	18263	8052
694	18285	8024
695	18310	7997
696	18332	7969
697	18358	7943
698	18381	7915
699	18406	7888
700	18429	7860
701	18454	7833
702	18478	7806
703	18504	7780
704	18528	7753
705	18553	7726
706	18577	7698
707	18600	7671
708	18623	7643
709	18645	7615
710	18668	7588
711	18692	7561
712	18719	7534
713	18743	7507
714	18767	7480
715	18791	7453
716	18813	7425
717	18838	7398
718	18861	7371
719	18885	7344
720	18907	7316
721	18933	7290
722	18957	7263
723	18982	7236
724	19007	7209
725	19034	7183
726	19058	7156
727	19085	7130
728	19121	7108
729	19147	7082
730	19170	7054
731	19194	7027
732	19218	7000
733	19241	6973
734	19263	6945
735	19287	6918
736	19311	6891
737	19335	6864
738	19360	6837
739	19383	6810
740	19405	6782
741	19428	6755
742	19453	6728
743	19475	6701
744	19498	6673
745	19520	6646
746	19545	6619
747	19570	6593
748	19593	6566
749	19621	6540
750	19649	6515
751	19674	6488
752	19698	6461
753	19723	6434
754	19748	6408
755	19772	6381
756	19797	6355
757	19821	6328
758	19843	6300
759	19866	6273
760	19891	6247
